,Unnamed: 0,star_names,distance,mass,radius,Unnamed: 6,Star_name.1,Distance.1,Mass.1,Radius.1,Luminosity.1
0,0,Sun,0.000015813,1,1,0,Sun,0.000015813,1,1,1
1,1,Sirius,0008.6,2.1,1.71´,1,Sirius,0008.6,2.1,1.71´,25.4
2,2,Canopus,0310,15,71,2,Canopus,0310,15,71,"13,500"
3,3,Alpha Centauri,0004.4,1.1,1.2,3,Alpha Centauri,0004.4,1.1,1.2,2
4,4,Arcturus,0037,1.1,26,4,Arcturus,0037,1.1,26,170
5,5,Vega,0025,2.2,2.7,5,Vega,0025,2.2,2.7,50
6,6,Capella,0043,2.6,12,6,Capella,0043,2.6,12,150
7,7,Rigel,0860,23,78.9,7,Rigel,0860,23,78.9,"120,000"
8,8,Procyon,0011.4,1.5,1.9,8,Procyon,0011.4,1.5,1.9,7.7
9,9,Betelgeuse,0640[1],20,950,9,Betelgeuse,0640[1],20,950,"60,000"
10,10,Achernar,0144,6.7,9.3,10,Achernar,0144,6.7,9.3,"3,000"
11,11,Hadar,0390,10.5,8.6,11,Hadar,0390,10.5,8.6,"42,000"
12,12,Altair,0017,1.8,1.8,12,Altair,0017,1.8,1.8,10.5
13,13,Acrux,0320,18,8.9,13,Acrux,0320,18,8.9,"25,000"
14,14,Aldebaran,0065,1.5,44,14,Aldebaran,0065,1.5,44,520
15,15,Antares,0600,12,680,15,Antares,0600,12,680,"75,000"
16,16,Spica,0260,11.43,7.47,16,Spica,0260,11.43,7.47,"20,512"
17,17,Pollux,0034,1.9,8.8,17,Pollux,0034,1.9,8.8,43
18,18,Fomalhaut,0025,1.9,1.8,18,Fomalhaut,0025,1.9,1.8,16.6
19,19,Deneb,"2,600",19,203,19,Deneb,"2,600",19,203,"200,000"
20,20,Mimosa,0350,16,8.4,20,Mimosa,0350,16,8.4,"34,000"
21,21,Regulus,0077,3.8,3.1,21,Regulus,0077,3.8,3.1,290
22,22,Adhara,0430,12.5,14,22,Adhara,0430,12.5,14,"39,000"
23,23,Shaula,0700,14.5,8.8,23,Shaula,0700,14.5,8.8,"36,000"
24,24,Castor,0052,2.8,2.4,24,Castor,0052,2.8,2.4,30
25,25,Gacrux,0088,1.5,84,25,Gacrux,0088,1.5,84,820
26,26,Bellatrix,0240,8.6,5.8,26,Bellatrix,0240,8.6,5.8,"9,200"
27,27,Elnath,0130,5.0,4.2,27,Elnath,0130,5.0,4.2,700
28,28,Miaplacidus,0110,3.5,6.8,28,Miaplacidus,0110,3.5,6.8,290
29,29,Alnilam,"2,000",32,42,29,Alnilam,"2,000",32,42,"380,000"
30,30,Gamma Velorum,"01,100",9.0,6,30,Gamma Velorum,"01,100",9.0,6,"170,000"
31,31,Alnair,0101,4.0,3.4,31,Alnair,0101,4.0,3.4,260
32,32,Alioth,0081,2.9,4.2,32,Alioth,0081,2.9,4.2,110
33,33,Alnitak,01050,33,20,33,Alnitak,01050,33,20,"120,000"
34,34,Dubhe,0120,4.25,30,34,Dubhe,0120,4.25,30,300
35,35,Mirfak,0590,8.5,68,35,Mirfak,0590,8.5,68,"5,000"
36,36,Wezen,"1,600",17,200,36,Wezen,"1,600",17,200,"82,000"
37,37,Sargas,0270,5.7,26,37,Sargas,0270,5.7,26,"1,800"
38,38,Kaus Australis,0140,3.5,6.8,38,Kaus Australis,0140,3.5,6.8,360
39,39,Avior,0630,9.0,130,39,Avior,0630,9.0,130,"60,000"
40,40,Alkaid,0104,6.1,3.4,40,Alkaid,0104,6.1,3.4,"1,350"
41,41,Menkalinan,081,2.39,2.77,41,Menkalinan,081,2.39,2.77,50
42,42,Atria,0390,7,92,42,Atria,0390,7,92,"5,500"
43,43,Alhena,0109,2.8,3.3,43,Alhena,0109,2.8,3.3,120
44,44,Peacock,0180,5.9,4.8,44,Peacock,0180,5.9,4.8,"2,200"
45,45,Alsephina[2],0080,2.4,2.9,45,Alsephina[2],0080,2.4,2.9,90
46,46,Mirzam,0500,13.5,10,46,Mirzam,0500,13.5,10,"27,000"
47,47,Polaris,0430,5.4,39,47,Polaris,0430,5.4,39,"2,500"
48,48,Alphard,0180,3.0,50,48,Alphard,0180,3.0,50,780
49,49,Mintaka,01200,24,16.5,49,Mintaka,01200,24,16.5,"190,000"
50,50,Scheat,0196,2.1,95,50,Scheat,0196,2.1,95,"1,500"
51,51,Almaaz,0653,15,140,51,Almaaz,0653,15,140,"43,000"
52,52,Rasalgethi,0360,2.8,280,52,Rasalgethi,0360,2.8,280,"8,300"
53,53,Tau Ceti,011.9,0.783,0.893,53,Tau Ceti,011.9,0.783,0.893,0.52
54,54,Delta Pavonis,019.92,0.991,1.22,54,Delta Pavonis,019.92,0.991,1.22,1.22
55,55,Ran,010.48,0.82,0.74,55,Ran,010.48,0.82,0.74,0.34
56,56,V382 Carinae,"08,900",20,485,56,V382 Carinae,"08,900",20,485,"212,000"
57,57,Eta Carinae,"07,500",100,60–881,57,Eta Carinae,"07,500",100,60–881,"5,000,000"
58,58,Delta Cephei,0887,4.5,44.5,58,Delta Cephei,0887,4.5,44.5,"2,000"
59,59,Mu Cephei,"06,000",19.2,972,59,Mu Cephei,"06,000",19.2,972,"135,000"
60,60,Titawin,044.25,1.27,1.48,60,Titawin,044.25,1.27,1.48,3.57
61,61,Rho Cassiopeiae,"08,154",22,636-981,61,Rho Cassiopeiae,"08,154",22,636-981,"347,000 - 530,000"
62,62,P Cygni,"05,545",30,76,62,P Cygni,"05,545",30,76,"610,000"
63,63,La Superba,"01,000",,129 - 342,63,La Superba,"01,000",,129 - 342,"2,472 - 5,800"
64,64,VV Cephei,"04,900",18.2,"516 - 1,050",64,VV Cephei,"04,900",18.2,"516 - 1,050","200,000"
65,65,61 Cygni,011.41,0.7,0.665,65,61 Cygni,011.41,0.7,0.665,0.153
66,66,R Doradus,0178,0.7 - 1.0,298,66,R Doradus,0178,0.7 - 1.0,298,"4,350"
67,67,Polaris Australis,0281,1.59,3.74,67,Polaris Australis,0281,1.59,3.74,38
68,68,R Coronae Borealis,"04,566",0.85,85,68,R Coronae Borealis,"04,566",0.85,85,"10,000"
69,69,54 Piscium,036.1,0.76,0.94,69,54 Piscium,036.1,0.76,0.94,0.52
70,70,Mira,0300,1.2,370,70,Mira,0300,1.2,370,"9,000"
71,71,RW Cephei,"014,000",13.9,"1,158",71,RW Cephei,"014,000",13.9,"1,158","417,000"
72,72,Lacaille 8760,012.87,0.6,0.51,72,Lacaille 8760,012.87,0.6,0.51,0.072
73,73,V838 Monocerotis,"019,896",?,380 - 750,73,V838 Monocerotis,"019,896",?,380 - 750,"15,000"
74,74,HD 140283,0190,?,1.4,74,HD 140283,0190,?,1.4,3.83
75,75,II Pegasi,0130,0.8,3.4,75,II Pegasi,0130,0.8,3.4,1.06
76,76,VY Canis Majoris,"03,900",17,"1,420",76,VY Canis Majoris,"03,900",17,"1,420","178,000 - 270,000"
77,77,Pistol Star,"025,000",100,320,77,Pistol Star,"025,000",100,320,"1,700,000"
78,78,S Doradus,"0169,000",24,380,78,S Doradus,"0169,000",24,380,"910,000"
79,79,UY Scuti,"05,100",7–10,755,79,UY Scuti,"05,100",7–10,755,"86,300 - 87,100"
80,80,Barnard's Star,05.98,0.14,0.20,80,Barnard's Star,05.98,0.14,0.20,0.0035
81,81,Luhman 16,06.52,0.04,?,81,Luhman 16,06.52,0.04,?,?
82,82,Proxima Centauri,04.25,0.12,0.15,82,Proxima Centauri,04.25,0.12,0.15,0.0017
83,83,KIC 8462852,"01,470",1.43,1.58,83,KIC 8462852,"01,470",1.43,1.58,4.68
84,84,R136a1,"0163,000",290,32,84,R136a1,"0163,000",290,32,"8,710,000"
85,85,Melnick 42,"0163,000",189,21.1,85,Melnick 42,"0163,000",189,21.1,"3,600,000"
86,86,WR 102,"018,134",19,0.39,86,WR 102,"018,134",19,0.39,"282,000"
87,87,VFTS 352,"0164,000",57.48,14.47,87,VFTS 352,"0164,000",57.48,14.47,"330,000"
88,88,YBP 1194,"02,772",1.01,0.99,88,YBP 1194,"02,772",1.01,0.99,0.98
89,89,Gliese 1214,047.5,0.16,0.21,89,Gliese 1214,047.5,0.16,0.21,0.0033
90,90,NML Cygni,"05,251",50,"1,640 - 2,770",90,NML Cygni,"05,251",50,"1,640 - 2,770","229,000"
91,91,VB 10,018.72,0.075,0.10,91,VB 10,018.72,0.075,0.10,0.0004
92,92,WOH G64,"0163,000",<20,"1,540 - 1,730",92,WOH G64,"0163,000",<20,"1,540 - 1,730","340-589,000"
93,93,TRAPPIST-1,039.6,0.089,0.12,93,TRAPPIST-1,039.6,0.089,0.12,0.0005
94,94,2MASS J0523-1403,040.3,0.07,0.086,94,2MASS J0523-1403,040.3,0.07,0.086,0.00013
95,95,WISE 0855−0714,07.27,0.003,?,95,WISE 0855−0714,07.27,0.003,?,?
96,96,Icarus,"014,400,000,000",33,?,96,Icarus,"014,400,000,000",33,?,"850,000"
